B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"598,829","580,209","21,665,713","11,346,496","3,233,594","1,150,835","176,859","582,923",57,"27,427","337,866",..
"598,829","580,209","21,665,713","11,346,496","3,233,594","1,150,835","176,859","582,923",57,"27,427","337,866",..
"5,808","5,808","5,808",0,0,825,0,"9,300",0,35,0,
"16,087","3,087","21,440","16,442",0,0,0,"17,006",0,0,"1,290",
"3,581","3,581","3,581",0,0,0,829,0,0,0,0,
"19,729","12,459","199,920","134,570","14,700","4,741","3,205","22,718",1,64,"3,500",
"3,274","3,274","44,764",0,0,0,968,0,0,0,0,..
"13,288",288,"13,975","11,700",718,0,0,"1,190",0,0,480,
"10,323","8,611","94,463","74,906","9,863",0,"2,062","9,876",1,0,"1,628",
"7,094","6,715","142,192","88,655","1,300","1,941","1,214","16,715",0,16,"2,368",..
"22,536","8,606","235,697","110,470","7,879","3,975","1,669","13,108",1,45,"2,400",160
"228,778","208,662","13,817,418","6,871,705","1,363,647","1,459,162","101,401","632,676",32,"16,599","151,401",
"7,152","6,115","140,221","95,924","2,201","3,772","1,352","12,095",0,12,"2,010",
"10,621","10,144","98,448","66,718","7,227","3,042","2,700","13,522",0,107,"1,000",
"5,334","5,153","30,875","16,830","7,756","1,800","1,063","12,789",1,10,"1,935",..
403,403,503,0,0,0,104,0,0,0,0,..
"2,395","2,316","59,095","37,711","1,400",793,374,"13,226",0,7,"2,880",
"7,349","7,349","48,430",0,0,0,"2,800",0,0,0,0,
"2,699","2,611","7,219","3,861",0,183,294,0,0,0,0,
"6,421","5,976","61,987","36,608","7,500","1,816","1,537","9,454",0,27,"17,075",
"2,589","2,589","2,589",0,0,0,752,0,0,0,0,
"11,484","11,484","141,790",0,0,0,"3,222",0,0,0,0,..
"11,484","11,484","141,790",0,0,0,"3,222",0,0,0,0,426
"11,484","11,484","141,790",0,0,0,"3,222",0,0,0,0,..
"23,935","23,616","783,607","381,824","36,016","16,838","5,713","27,195",0,493,"9,996",..
"4,452","4,452","66,152",0,0,0,"1,173",0,0,0,0,
"5,096","4,865","150,518","77,303","28,465","2,602","1,391","23,035",1,126,"3,600",
"13,903",903,"41,179","17,000","16,869",0,0,"1,203",0,2,"3,000",
"134,047","125,674","4,903,557","2,318,312","745,091","236,467","28,126","131,964",9,"2,738","67,189",
"29,687","26,935","1,410,561","880,193","140,251","20,066","7,375","33,849",2,458,"22,700",
"55,704","52,429","5,181,443","2,802,050","333,953","326,188","36,555","127,920",12,"2,469",0,..
"715,203","693,781","27,408,366","21,447,686","1,422,980","1,866,053","251,900","749,566",39,"37,516","342,043",
"13,212",212,"23,675","11,500","9,000",0,0,"1,683",1,1,518,
"31,848","17,888","697,653","432,556","39,636","9,400","5,897","36,933",1,481,"12,530",..
"22,854","9,854","48,462","29,134","7,053",0,0,"9,589",0,0,"7,497",
"10,202","10,202","83,225",0,0,0,"3,376",0,0,0,0,
"6,775","6,775","22,890",0,0,0,"1,569",0,0,0,0,942
"5,058","4,877","126,208","87,017","1,665","2,417",768,0,0,10,"2,400",
"1,045","1,045","1,400",0,0,0,256,0,0,0,0,
"6,081","6,081","45,192",0,0,0,"1,729",0,0,0,0,
"49,085","43,848","531,179","268,365","84,314","6,050","10,140","26,899",0,281,"8,512",
"1,382","1,382","1,382",0,0,0,301,0,0,0,0,
"14,386","1,386","14,386","13,000",0,0,0,0,0,0,0,
"4,992","4,992","4,992",0,0,0,"1,166",0,0,0,0,
"51,841","33,834","1,873,486","1,286,142","71,798","57,002","13,191","85,906",3,418,"15,318",
"64,401","63,775","3,623,957","2,114,303","259,265","192,437","29,756","208,304",5,290,"35,000",
"157,058","130,258","4,837,991","3,526,575","379,684","254,977","37,030","111,903",9,"17,326","60,717",
"25,276","23,904","905,805","534,248","72,278","18,739","7,026","47,803",2,150,"10,000",
"13,285",285,"13,285","13,000",0,285,0,0,0,0,"1,400",
"4,831","4,831","119,170","51,738","7,123","2,980",804,"13,137",0,58,"2,048",172
"15,672","2,672","52,177","30,863",0,700,0,"2,922",1,3,0,
"111,220","104,583","3,344,972","1,434,133","271,668","144,454","30,213","108,923",3,"1,218","50,991",
"106,611","101,764","2,653,497","1,477,756","137,863","59,933","22,614","178,400",5,882,"35,000","5,100"
"106,611","101,764","2,653,497","1,477,756","137,863","59,933","22,614","178,400",5,882,"35,000",276
"27,444","18,348","597,360","370,762","63,233","13,450","7,077","38,282",1,517,"10,700",..
"17,300","16,502","285,126","178,477","32,638","7,080","3,949","14,208",0,157,"5,900",
"22,513","21,254","778,027","444,098","52,288","23,461","5,807","40,875",2,475,"11,130",
"2,007","2,007","2,007",0,0,0,367,0,0,0,0,
"10,720","7,544","146,250","79,645","13,282","1,528","2,313","11,311",1,63,"3,749",
"1,220","1,220","1,220",0,0,0,272,0,0,0,0,
"182,453","182,254","11,708,738","6,480,591","842,032","615,572","73,164","234,845",24,"6,163","100,935",
"13,849",849,"13,849",0,"13,849",0,0,"2,800",0,0,0,
"11,917","9,662","92,250","64,635",0,"1,776","2,396","13,138",0,132,"3,266",
"1,043","1,043","5,125","4,076",0,0,132,"9,975",0,0,0,
"30,708","29,397","1,869,344","1,130,782","80,146","52,709","11,065","77,267",3,295,"17,635",
"51,394","47,907","2,377,946","1,317,096","330,446","77,408","14,275","75,400",4,"1,482","47,000","2,841"
"51,394","47,907","2,377,946","1,317,096","330,446","77,408","14,275","75,400",4,"1,482","47,000",..
"29,702","29,702","269,046",0,0,0,"11,530",0,0,0,0,
"215,441","215,441","9,523,575","4,762,247","1,442,238","372,655","65,534","255,059",19,"3,478","95,085",
"19,268","13,574","227,156","166,248","6,060","10,421","2,591","35,811",0,301,"5,272",
"1,380,328","1,208,583","50,795,172","28,142,002","4,295,855","2,226,369","422,327","1,468,076",86,"55,781","424,164","39,412"
"1,380,328","1,208,583","50,795,172","28,142,002","4,295,855","2,226,369","422,327","1,468,076",86,"55,781","424,164",..
"1,380,328","1,208,583","50,795,172","28,142,002","4,295,855","2,226,369","422,327","1,468,076",86,"55,781","424,164",..
"1,380,328","1,208,583","50,795,172","28,142,002","4,295,855","2,226,369","422,327","1,468,076",86,"55,781","424,164",..
"1,380,328","1,208,583","50,795,172","28,142,002","4,295,855","2,226,369","422,327","1,468,076",86,"55,781","424,164",..
"75,980","72,589","1,889,344","1,005,379","120,654","30,758","18,917","88,528",3,"1,342","22,582","2,084"
"138,904","135,675","4,508,534","1,824,329","503,566","189,978","29,440","129,095",7,"3,449","45,884","3,133"
"138,904","135,675","4,508,534","1,824,329","503,566","189,978","29,440","129,095",7,"3,449","45,884",..
"1,878","1,878","1,878",0,0,0,545,0,0,0,0,..
"15,090","13,493","418,512","242,835","44,659","4,042","2,238","29,722",0,197,0,
"23,388","22,456","988,519","540,040","42,642","34,183","7,104","35,434",1,716,"13,300",
"47,439","26,479","598,777","325,398","59,140","18,154","6,543","44,678",1,377,"10,000",
"13,376","12,780","548,915","365,794","39,859","6,400","3,679","30,106",1,289,"12,340",
"7,033","6,639","95,353","62,223","12,119","1,396","1,726","11,056",0,21,"2,500",
"42,817","39,695","751,243","406,248","59,189","19,263","12,380","38,175",1,"1,045","9,500",
